lines,line_num,name
 旅游6号线,途经路线[1条],云海谷
 M304路 M569路 B670路,途经路线[3条],万汇百货
 M439路 M458路 M546路 M564路 935路,途经路线[5条],力高君御国际
 M412路 M498路 M573路 M574路 B725路 881路,途经路线[6条],北门坳
 B825路,途经路线[1条],体育馆大门
 N22路 E38路 高峰专线38 M115路 M180路 M211路 M301路 M340路 M352路 M420路 M449路 M450路 M462路 M534路 624路 B645路 B692路 B714路,途经路线[18条],华荣工业区
 E2路 4路 E5路 N6路 E20路 高快巴士95 222路 323路 365路 M389路 393路,途经路线[11条],体育馆东
 高快巴士23 M366路 M451路 B959路 B972路,途经路线[5条],公明模具基地
 M258路 B878路,途经路线[2条],万松高
 高峰专线10 79路 高峰专线150 M241路 M242路 369路,途经路线[6条],南园村东
 N24路 M474路 M562路,途经路线[3条],南外学校高新分部
 74路,途经路线[1条],南园综合大楼
 N4路 大鹏假日专线5 高峰专线8 高峰专线26 NE30路 M137路 M191路 M194路 234路 323路 M358路 M364路 M413路 M511路 M527路,途经路线[15条],南头(1)
 M200路 204路 M241路 320路 337路 338路 395路 M433路 M530路,途经路线[9条],南头
 高快巴士17 M243路 321路 M354路 M392路 M408路,途经路线[6条],南大富
 E3路 高峰专线21 高峰专线22 高峰专线37 高峰专线123 M263路 M271路 M281路 M282路 M300路 313路 317路 328路 M346路 M347路 M363路 M383路 M385路 391路 393路 M481路 M488路 M491路 M533路 M547路 M566路 612路 621路 B655路 982路,途经路线[30条],南坑村
 B811路,途经路线[1条],东城幼儿园
 1路 3路 N3路 N7路 11路 306路 369路 M402路 M403路 M482路 M508路,途经路线[11条],东门中(1)
 5路 N15路 N16路 N19路 64路 82路 102路 103路 113路 M207路 211路 307路 M399路 M509路,途经路线[14条],东门中
 旅游5号线 211路 M399路 M482路,途经路线[4条],东门(4)
 1路 旅游5号线 N7路 高快巴士20 113路 211路 M239路 369路 M402路 M509路,途经路线[10条],东门(3)
 5路 69路 103路 203路 M399路 M559路,途经路线[6条],东门(5)
 M207路 M404路 M407路 M408路,途经路线[4条],东门(6)
 3路 N3路 11路 N16路 64路 82路 M192路 306路 369路 M508路,途经路线[10条],东门(2)
 36路 58路 高峰专线122 223路 M343路 M349路 M370路 M463路 M492路 M562路 B796路,途经路线[11条],大新地铁站
 M236路 M237路 639路 B835路,途经路线[4条],航盛电子
 M246路 M250路 M355路 M370路 M511路 603路 707路 727路,途经路线[8条],西乡交管所
 M219路 M275路 M308路 B671路 B673路 B738路 811路,途经路线[7条],鼎尚华庭
 338路 M416路 M419路 M433路 M530路 615路 B767路 B827路,途经路线[8条],航空物流园
 M249路 M558路 B976路,途经路线[3条],航城路口
 67路 80路 M122路 M202路 M389路 M555路,途经路线[6条],航苑大厦
 N8路 19路 高峰专线62 高峰专线69 72路 104路 M169路 201路 M203路 M234路 235路 326路 334路 M369路 M474路 B707路,途经路线[16条],鼎胜山邻
 B937路,途经路线[1条],黄埔旧村
 M502路 810路,途经路线[2条],龙西桥
 E38路 M352路 M534路,途经路线[3条],龙达工业园
 高峰专线26 高峰专线62 72路 高峰专线166 M203路 M234路 334路 M474路 B707路,途经路线[9条],龙辉花园(2)
 M306路 M319路 M501路 M502路 810路,途经路线[5条],龙西村委
 N8路 19路 高峰专线49 高峰专线69 104路 M169路 201路 235路 326路 M369路,途经路线[10条],龙辉花园(1)
 M230路 M305路 M431路,途经路线[3条],龙运通龙岗客运站
 M307路,途经路线[1条],龙西路口
 M543路,途经路线[1条],龙马新村
 B715路,途经路线[1条],龙胜社区
 M307路,途经路线[1条],龙西市场路口
 M561路,途经路线[1条],龙苑路西
 M502路 810路,途经路线[2条],龙西幼儿园
 B707路,途经路线[1条],龙苑西路
 M307路,途经路线[1条],龙西五联路
 M306路 M307路 M319路 M501路 M502路 923路,途经路线[6条],龙西总站
 N22路 M262路 M310路 312路 M354路 M537路 B879路 B915路,途经路线[8条],龙胜村
 M214路 M340路 B715路,途经路线[3条],龙胜市场
 M214路 M340路 B715路,途经路线[3条],龙胜公园
 M214路 M340路 B715路,途经路线[3条],龙胜新村
 高峰专线91 M214路 B830路 B879路,途经路线[4条],龙胜地铁站东
 M426路 M546路 M564路 M576路 939路,途经路线[5条],龙背小学
 M236路 M252路 M419路 M472路 B711路 B767路 B835路,途经路线[7条],龙翔山庄
 4号线(龙华线),途经路线[1条],龙胜
 高快巴士18 NE29路 E29路 高峰专线38 高快巴士70 M115路 M214路 M264路 330C线 M537路 M538路 612路 B715路 B830路 B879路,途经路线[15条],龙胜地铁站
 769路,途经路线[1条],龙眼山村
 M297路,途经路线[1条],龙田社区
 M326路 M434路 B953路,途经路线[3条],龙翔兴公司
 凤岗2路,途经路线[1条],龙福花园
 M293路 M396路 978路,途经路线[3条],龙田警务室
 M327路 M427路 978路,途经路线[3条],龙田街道办
 假日专线7号线 E27路 365路 M396路 M447路 M502路 B723路 818路 818大站快线,途经路线[9条],龙福一村
 深惠2线 深惠3A线 深惠3线 E33路 E34路 M361路 366路 M396路 M434路 B950路,途经路线[10条],龙田路口
 B675路,途经路线[1条],龙田村委
 M298路 M533路,途经路线[2条],龙璧工业区
 M341路 M387路 M442路 781路 B981路,途经路线[5条],龙璟印刷工业园
 深惠1线 M293路 M396路 B675路 978路,途经路线[5条],龙田小学
 M272路,途经路线[1条],龙珠花园后门
 深惠1线 M293路 M297路 M384路 M396路 B675路 B761路 978路,途经路线[8条],龙田住宅区
 22路 122路 M409路 M430路 B945路,途经路线[5条],龙瑞佳园天桥
 梧桐山假日专线2 高峰专线32 M183路 M244路 M268路 321路 322路 373路 376路 M379路 M404路 M408路 M421路 M476路,途经路线[14条],龙珠花园(3)
,途经路线[0条],麒麟山公园天桥
 深莞2线 M534路 B603路 B922路,途经路线[4条],龙华区民政局
 2号线(蛇口线) 5号线(环中线),途经路线[2条],黄贝岭
 B951路,途经路线[1条],龙翔学校
 深惠3A线 高峰专线18 高峰专线19 M139路 M172路 M233路 M265路 M271路 M273路 M281路 M283路 371路 M406路 977路,途经路线[14条],龙珠花园(1)
 22路 122路 M409路 M430路 B945路,途经路线[5条],龙瑞佳园
 8路 高峰专线17 高峰专线169 M203路 M224路 M239路 M295路 M310路 M329路 357路 M358路 366路 398路 M485路 M511路,途经路线[15条],龙珠花园(2)
 梧桐山假日专线2 深惠3A线 8路 高峰专线17 高峰专线18 高峰专线19 高峰专线32 M139路 M172路 M183路 M192路 M203路 M224路 M233路 M239路 M244路 M265路 M268路 M271路 M273路 M281路 M283路 M295路 M310路 321路 322路 M329路 357路 M358路 366路 371路 373路 376路 M379路 398路 M404路 M406路 M408路 M421路 M476路 M485路 M511路 977路,途经路线[43条],龙珠花园
 M522路 M558路 B887路,途经路线[3条],顺生物流
 M248路 M260路 M332路 M542路 M552路 B896路 B933路,途经路线[7条],麒麟山公园东
 M495路,途经路线[1条],鹏鼎控股南门
 M270路 M283路,途经路线[2条],顺平商业街
 M228路 M283路 M407路,途经路线[3条],顺平路口北
 M204路 218路 M390路 B613路,途经路线[4条],颂德花园公交总站
 M228路 M264路 M269路 M302路 M359路 M361路 M407路 B878路,途经路线[8条],顺平路口
 M387路,途经路线[1条],顺丰物流基地
 M266路,途经路线[1条],龙岗高级中学
 B913路,途经路线[1条],黄麻布凤凰山
 M470路 603路 707路,途经路线[3条],黄麻布总站
 M250路 M335路 M355路 M470路 603路 707路 790路,途经路线[7条],黄麻布
 707路,途经路线[1条],黄麻布村口
 B714路 B715路 B922路,途经路线[3条],黄麻埔新村
 M351路 650路 653路 B776路,途经路线[4条],锦程文丰大厦
 M341路 M351路 615路 650路 B776路 781路 B944路,途经路线[7条],锦程文丰公交场站
 N18路 高峰专线32 97路,途经路线[3条],黄贝岭村总站
 M250路 M335路 M355路 790路,途经路线[4条],黄金洞
 N18路 97路,途经路线[2条],黄贝岭村委
 10路 N14路 M182路 220路 223路 M383路,途经路线[6条],黄贝岭地铁站(4)
 17路 B909路,途经路线[2条],黄贝派出所
 E5路 M219路 M230路 M276路 M280路 M317路 M386路 M569路 862路,途经路线[9条],黄阁翠苑北
 M230路 M276路 M280路 M386路,途经路线[4条],黄阁坑市场
 大鹏假日专线1 凤岗2路 假日专线7号线 E25路 E27路 M139路 M220路 M229路 365路 M367路 M446路 M447路 810路 818大站快线 818路 833路,途经路线[16条],黄阁翠苑
