company,second_name,bus_type,first_name,name,update_time,first_line,time,cost,second_line
深圳巴士集团股份有限公司,深圳N3路公交车路线(福田高铁站—草埔吓屋村),夜班线路,深圳N3路公交车路线(草埔吓屋村—福田高铁站),深圳N3路公交车路线,最后更新：2018-12-14,"1:草埔吓屋村
2:绿景山庄
3:华港新村
4:理想新城
5:戒毒所
6:布心山庄
7:金稻田路口
8:翠园中学东晓校区
9:东湖路
10:景亿山庄
11:彩世界家园
12:水库
13:水库新村(1)
14:竹园宾馆(2)
15:留医部(2)
16:东门中(1)
17:东门(2)
18:东门老街
19:门诊部(2)
20:人民桥
21:地王大厦
22:新闻大厦
23:兴华宾馆东
24:上海宾馆
25:田面
",运行时间：草埔吓屋村23:00-02:00 |福田高铁站23:00-02:00,票价信息：冷巴2元,"26:海关综合大楼
27:市民广场东
28:广电大厦
29:福田高铁站
"
深圳巴士集团股份有限公司,,夜班线路,深圳N27路公交车路线(深圳湾口岸—西乡大铲湾总站),深圳N27路公交车路线,最后更新：2018-12-14,"1:深圳湾口岸公交总站
2:后海滨路口
3:海月地铁站(2)
4:半岛花园北
5:文竹园
6:四海小区
7:蛇口沃尔玛(2)
8:南油大厦
9:南山邮局
10:亿利达大厦
11:中油大厦
12:南山派出所
13:南航公司
14:市六医院
15:桃园南新路口
16:南山欢乐颂
17:南新深南天桥(1)
18:深南北环立交(1)
19:宝安交通运输局
20:裕安路口
21:上川路口
22:西乡路口
23:宝安中心医院
24:西乡立交
25:大益广场
",运行时间：深圳湾口岸公交总站-西乡大铲湾公交总站21:10 21:40 22:10 22:40 23:10 00:10,票价信息：冷巴2.5元,
深圳巴士集团股份有限公司,深圳N2路公交车路线(火车站—金洲花园),夜班线路,深圳N2路公交车路线(金洲花园—火车站),深圳N2路公交车路线,最后更新：2018-12-14,"1:金洲花园
2:金洲路口
3:金稻田路口
4:翠园中学东晓校区
5:东湖路
6:景亿山庄
7:布心市场
8:罗湖妇幼保健院
9:金威啤酒街
10:松泉公寓
11:翠竹大厦
12:田贝地铁站
13:康宁医院
14:翠竹万家
15:木头龙
16:爱国大厦
17:罗湖区委
18:文锦南路
19:文锦中学
20:春风万佳(2)
21:丽都酒店(1)
22:阳光酒店
23:罗湖小学
24:人民南地铁站
25:火车站
",运行时间：金洲花园22:40-24:00 |火车站23:10-00:40,票价信息：冷巴2元,"1:火车站
2:人民南地铁站
3:罗湖小学
4:阳光酒店
5:丽都酒店(2)
6:春风万佳(2)
7:文锦中学
8:文锦南路
9:罗湖区委
10:爱国大厦
11:木头龙
12:翠竹苑
13:翠竹万家
14:康宁医院
15:田贝地铁站
16:翠竹大厦
17:松泉公寓
18:金威啤酒街
19:罗湖妇幼保健院
20:布心市场
21:景亿山庄
22:东湖路
23:翠园中学东晓校区
24:金稻田路口
25:金洲路口
"
深圳市东部公共交通有限公司,深圳N28路公交车路线(宝龙比亚迪—大运地铁公交接驳站),夜班线路,深圳N28路公交车路线(大运地铁公交接驳站—宝龙比亚迪),深圳N28路公交车路线,最后更新：2018-12-14,"1:大运地铁公交接驳站
2:龙岗COCOPark西
3:宝荷农贸市场
4:肿瘤医院
5:正中
6:宝荷沙荷路口
7:比亚迪学校
8:宝龙比亚迪
",运行时间：大运地铁接驳站21:30-24:00 |宝龙比亚迪21:55-00:20,票价信息：冷巴2元,"1:宝龙比亚迪
2:比亚迪学校
3:宝荷沙荷路口
4:正中
5:肿瘤医院
6:宝荷农贸市场
7:大运地铁公交接驳站
"
深圳巴士集团股份有限公司,深圳NE30路公交车路线(海上世界公交接驳站—机场新航站楼),夜班线路,深圳NE30路公交车路线(机场地面交通中心西平台—海上世界公交接驳站),深圳NE30路公交车路线,最后更新：2018-12-14,"1:机场地面交通中心西平台
2:西乡立交
3:宝安交通运输局(1)
4:南头(1)
5:桂庙新村
6:海雅百货
7:南油大厦
8:蛇口沃尔玛
9:海上世界公交接驳站
",运行时间：机场地面交通中心西平台21:00-02:00 |海上世界地铁接驳站23:00-06:30,票价信息：冷巴6元,"1:海上世界公交接驳站
2:蛇口沃尔玛(2)
3:南油大厦
4:海雅百货
5:桂庙新村
6:豪方现代豪园
7:机场新航站楼
"
深圳巴士集团股份有限公司,深圳NE29路公交车路线(壹城中心第九区公交总站—机场新航站楼),夜班线路,深圳NE29路公交车路线(机场地面交通中心西平台—壹城中心第九区公交总站),深圳NE29路公交车路线,最后更新：2018-12-14,"1:机场地面交通中心西平台
2:西乡立交
3:宝安交通运输局(1)
4:龙悦居
5:深圳北站东广场
6:世纪春城
7:风和日丽
8:壹城中心第九区公交总站
",运行时间：机场地面交通中心西平台21:30-01:40 |壹城中心第九区公交总站23:00-06:30,票价信息：冷巴8元,"1:壹城中心第九区公交总站
2:龙华地铁站
3:龙胜地铁站
4:机场新航站楼
"
深圳市东部公共交通有限公司,深圳NE31路公交车路线(机场地面交通中心西平台—坂田风门坳总站),夜班线路,深圳NE31路公交车路线(坂田风门坳总站—机场新航站楼),深圳NE31路公交车路线,最后更新：2018-12-14,"1:坂田风门坳总站
2:天安云谷
3:机场新航站楼
",运行时间：坂田风门坳总站20:50-00:30 |机场地面交通中心西平台22:20-01:50,票价信息：冷巴8元,"1:机场地面交通中心西平台
2:羊台山
3:龙华天虹商场
4:龙华汽车站
5:清湖老村
6:富士康北门
7:天安云谷
8:坂田风门坳总站
"
深圳市西部公共汽车有限公司,,夜班线路,深圳NM387路公交车路线(机场地面交通中心西平台—长凤路总站),深圳NM387路公交车路线,最后更新：2018-12-14,"1:机场地面交通中心西平台
2:后瑞地铁站
3:福永汽车站
4:福永医院凤凰分院
5:新桥南环路口
6:沙井中心客运站
7:新玉路德昌站
8:光侨立交西
9:田寮
10:华星光电
11:光明大道换乘站
12:光明交通局
13:光明群众体育中心
14:长凤路总站
",运行时间：机场地面交通中心西平台-长凤路总站23:00 00:00 01:00,票价信息：冷巴2.5元,
深圳市东部公共交通有限公司,,夜班线路,深圳NE26路公交车路线(福田交通枢纽—大鹏汽车站),深圳NE26路公交车路线,最后更新：2018-12-14,"1:福田交通枢纽
2:下沙(1)
3:福田实验学校(2)
4:联合广场
5:上步中学(1)
6:罗湖医院
7:春风万佳(1)
8:黄贝岭地铁站(2)
9:罗湖体育馆
10:莲塘
11:盐田区政府
12:海港大厦
13:溪涌市场
14:葵涌中心
15:大鹏中心(1)
16:大鹏汽车站
",运行时间：福田交通枢纽-大鹏汽车站 20:30 21:00 21:30 22:00,票价信息：冷巴10元,
深圳巴士集团股份有限公司,深圳N24路公交车路线(蛇口广场—安托山场站),夜班线路,深圳N24路公交车路线(安托山场站—蛇口广场),深圳N24路公交车路线,最后更新：2018-12-14,"1:安托山场站
2:警校
3:园博园西
4:康佳集团
5:世界之窗(1)
6:白石洲(1)
7:高新公寓
8:科技南路
9:阳光带海滨城
10:南外学校高新分部
11:高新南十一道
12:卓越后海中心
13:漾日湾畔
14:海岸城
15:观海台
16:北师大附小
17:后海新村
18:海月花园
19:半岛花园
20:湾厦村委
21:永乐新村
22:东角头
23:蛇口广场
",运行时间：安托山场站21:45 22:00 22:30 |蛇口广场21:45 22:00,票价信息：冷巴2元,"1:蛇口广场
2:蛇口新街
3:东角头
4:永乐新村
5:湾厦村委
6:半岛花园
7:海月花园
8:后海新村
9:北师大附小
10:观海台
11:海岸城
12:滨海科苑立交
13:深圳湾体育中心
14:阳光带海滨城北
15:科技南路
16:高新公寓
17:白石洲(1)
18:世界之窗(1)
19:康佳集团
20:园博园西
21:警校
22:安托山场站
"
深圳巴士集团股份有限公司,深圳N25路公交车路线(皇岗口岸—清水河),夜班线路,深圳N25路公交车路线(清水河—皇岗口岸),深圳N25路公交车路线,最后更新：2018-12-14,"1:清水河
2:武警医院(2)
3:红岗西村
4:红岭泥岗立交
5:市检察院(2)
6:园岭新村
7:笋岗八卦路口(2)
8:体育馆(1)
9:海外装饰大厦(2)
10:中医院
11:中大八院
12:公汽大楼
13:福田南
14:福滨新村西
15:皇岗口岸总站
",运行时间：清水河23:00 23:30 24:00 |皇岗口岸23:00 23:30 24:00,票价信息：冷巴2.5元,"1:皇岗口岸总站
2:公汽大楼
3:中大八院
4:海外装饰大厦(2)
5:海馨苑
6:体育馆(1)
7:笋岗八卦路口(2)
8:市检察院(2)
9:红岭泥岗立交
10:红岗西村
11:武警医院(1)
12:清水河
"
深圳市西部公共汽车有限公司,深圳N22路公交车路线(新百丽—新百丽),夜班线路,深圳N22路公交车路线(新百丽—新百丽),深圳N22路公交车路线,最后更新：2018-12-14,"1:新百丽
2:鹏城变电站
3:华荣工业区
4:大浪行政中心
5:德泰科技园
6:大浪商业中心东
7:华科街
8:三合华侨新村
9:龙华敬老院
10:龙观路口
11:龙华中学
12:龙胜村
13:龙华国税
14:龙华地铁站
15:龙华地税
16:龙华街道办
17:龙华市场
18:金龙华广场
19:龙华天虹商场
20:新城市花园
21:老围工业区
22:墩背社区
23:英泰工业区
24:万盛百货
25:大浪街道办
",运行时间：新百丽--新百丽20:00--24:00,票价信息：冷巴2元,"26:水围新村
27:大船坑
28:大浪新围新村
29:嘉义源科技园
30:鹏城变电站
31:新百丽
"
深圳巴士集团股份有限公司,深圳N21路公交车路线(国贸—大梅沙闻檀道场站),夜班线路,深圳N21路公交车路线(大梅沙闻檀道场站—国贸),深圳N21路公交车路线,最后更新：2018-12-14,"1:大梅沙闻檀道场站
2:梅沙街道办
3:海滨浴场(1)
4:盐田外语学校
5:沙头角保税区
6:盐田汽车站
7:盐田区政府
8:三家店
9:沙头角海关
10:罗湖公安分局
11:莲塘
12:罗湖体育馆
13:黄贝岭
14:黄贝岭地铁站(1)
15:冶金大厦
16:京鹏大厦
17:湖贝地铁站
18:国贸
",运行时间：大梅沙海滨总站23:00 01:00 |国贸00:00 02:00,票价信息：冷巴3元,"1:国贸
2:湖贝地铁站
3:京鹏大厦
4:冶金大厦
5:黄贝岭地铁站(2)
6:黄贝岭
7:罗湖体育馆
8:莲塘
9:长岭
10:沙头角海关
11:三家店
12:盐田区政府
13:盐田汽车站
14:沙头角保税区
15:盐田外语学校
16:海滨浴场
17:梅沙街道办
18:大梅沙闻檀道场站
"
深圳巴士集团股份有限公司,深圳N19路公交车路线(建设路总站—丽湖花园总站),夜班线路,深圳N19路公交车路线(丽湖花园总站—建设路总站),深圳N19路公交车路线,最后更新：2018-12-14,"1:丽湖花园总站
2:上水花园
3:丽湖花园
4:上水径
5:下水径
6:大坡头村
7:布吉中学
8:龙岗区第二人民医院
9:布吉街
10:荣超花园(1)
11:草埔地铁站(6)
12:独树村(2)
13:洪湖公园(1)
14:田贝(1)
15:东门中(2)
16:东门(1)
17:金城大厦(1)
18:金光华广场
19:罗湖小学
20:建设路总站
",运行时间：丽湖花园总站22:10-01:00 |建设路总站23:10-02:00,票价信息：冷巴2元,"1:建设路总站
2:金光华广场
3:金城大厦(1)
4:东门(1)
5:东门中(2)
6:田贝(2)
7:洪湖公园(1)
8:独树村(2)
9:草埔地铁站
10:荣超花园(4)
11:布吉街
12:龙岗区第二人民医院
13:布吉中学
14:大坡头村
15:下水径
16:上水径
17:上水径地铁站
18:上水花园
19:丽湖花园总站
"
深圳巴士集团股份有限公司,,夜班线路,深圳N15路公交车路线(火车站—罗湖长岭总站),深圳N15路公交车路线,最后更新：2018-12-14,"1:火车站
2:罗湖小学
3:金光华广场
4:金城大厦(2)
5:东门(1)
6:东门中(2)
7:木头龙
8:华丽环岛
9:荷花市场
10:怡景地铁站(1)
11:罗湖体育馆
12:西岭下(1)
13:莲塘
14:长岭
15:罗湖长岭总站
",运行时间：火车站--长岭总站21:00,票价信息：冷巴2元,
深圳巴士集团股份有限公司,深圳N17路公交车路线(上海宾馆—草埔地铁站总站),夜班线路,深圳N17路公交车路线(草埔地铁站总站—上海宾馆),深圳N17路公交车路线,最后更新：2018-12-14,"1:草埔地铁站总站
2:草埔地铁站(8)
3:独树村
4:泥岗桥
5:红岗花园
6:宝安北路口
7:红岭泥岗立交
8:旭飞花园
9:上林苑
10:劳动就业大厦
11:计生中心
12:荔园小学
13:市总工会
14:兴华宾馆西
15:上海宾馆
",运行时间：草埔地铁站总站21:00 22:15 23:30 |上海宾馆21:30 22:45 24:00,票价信息：冷巴2元,"1:上海宾馆
2:中航地产
3:振中路
4:荔园小学西校区
5:荔园小学
6:计生中心
7:劳动就业大厦
8:上林苑
9:旭飞花园
10:市检察院(2)
11:红岭泥岗立交
12:宝安北路口(2)
13:红岗花园
14:泥岗桥
15:独树村(3)
16:草埔地铁站
17:草埔地铁站总站
"
深圳巴士集团股份有限公司,深圳N18路公交车路线(火车站—黄贝岭村总站),夜班线路,深圳N18路公交车路线(黄贝岭村总站—火车站),深圳N18路公交车路线,最后更新：2018-12-14,"1:黄贝岭村总站
2:黄贝岭村委
3:沃尔玛广场
4:凤凰街
5:文锦南路
6:文锦渡客运站南
7:丽都酒店(1)
8:金光华广场
9:罗湖小学
10:人民南地铁站
11:火车站
",运行时间：黄贝岭村总站21:40-23:30 |火车站22:10-24:00,票价信息：冷巴2元,"1:火车站
2:人民南地铁站
3:罗湖小学
4:金光华广场
5:丽都酒店(2)
6:文锦渡客运站
7:文锦南路
8:凤凰街
9:沃尔玛广场
10:黄贝岭村委
11:黄贝岭村总站
"
深圳巴士集团股份有限公司,深圳N16路公交车路线(火车站—清水河),夜班线路,深圳N16路公交车路线(清水河—火车站),深圳N16路公交车路线,最后更新：2018-12-14,"1:清水河
2:武警医院(2)
3:红岗西村
4:桃园路中
5:笋岗工艺城
6:笋岗仓库
7:桂园中学
8:笋岗桥
9:儿童公园(1)
10:东门中(2)
11:东门(2)
12:金城大厦(2)
13:金光华广场
14:罗湖小学
15:火车站
",运行时间：清水河21:00-23:30 |火车站21:30-24:00,票价信息：冷巴2元,"1:火车站
2:罗湖小学
3:金光华广场
4:金城大厦(2)
5:东门(2)
6:东门中(2)
7:儿童公园(1)
8:笋岗桥
9:桂园中学
10:笋岗仓库
11:笋岗工艺城
12:桃园路中
13:市检察院(3)
14:红岭泥岗立交
15:红岗西村
16:武警医院(1)
17:清水河
"
深圳巴士集团股份有限公司,深圳N14路公交车路线(火车站—长岭东公交场站),夜班线路,深圳N14路公交车路线(长岭东公交场站—火车站),深圳N14路公交车路线,最后更新：2018-12-14,"1:长岭东公交场站
2:罗湖公安分局
3:莲塘
4:聚宝路口
5:西岭下(2)
6:罗湖党校
7:安芳小学
8:罗芳耕作口
9:污水处理厂
10:罗芳三岔河
11:罗芳南路
12:新秀小学
13:古玩城
14:黄贝岭地铁站(2)
15:冶金大厦
16:文锦南路
17:文锦中学
18:春风万佳(1)
19:丽都酒店(1)
20:阳光酒店
21:金光华广场
22:罗湖小学
23:火车站
",运行时间：长岭东公交总站21:00-01:20 |火车站20:50-02:00,票价信息：冷巴2元,"1:火车站
2:罗湖小学
3:金光华广场
4:阳光酒店
5:丽都酒店(2)
6:春风万佳(2)
7:文锦中学
8:文锦南路
9:冶金大厦
10:黄贝岭地铁站(4)
11:古玩城
12:新秀小学
13:罗芳南路
14:罗芳三岔河
15:污水处理厂
16:罗芳耕作口
17:安芳小学
18:罗湖党校
19:西岭下(2)
20:聚宝路口
21:莲塘
22:长岭
23:长岭东公交场站
"
深圳巴士集团股份有限公司,深圳N12路公交车路线(福田农批市场总站—上海宾馆),夜班线路,深圳N12路公交车路线(上海宾馆—福田农批市场总站),深圳N12路公交车路线,最后更新：2018-12-14,"1:上海宾馆
2:华富路始发站
3:海外装饰大厦(3)
4:海馨苑
5:市二医院(1)
6:笔架山公园
7:长城开发
8:凯丰花园
9:万科大厦
10:福田二医院
11:上梅林市场
12:上梅林村
13:梅林街道办
14:梅林二村
15:梅林一村(1)
16:福田农批市场
17:福田农批市场总站
",运行时间：上海宾馆23:45 00:20 01:00 |福田农批市场总站23:45 00:20 01:00,票价信息：冷巴2.5元,"1:福田农批市场总站
2:福田农批市场
3:梅林一村
4:梅林二村
5:梅林街道办
6:上梅林村
7:上梅林市场
8:福田二医院
9:万科大厦
10:第二高级技工学校
11:长城开发
12:笔架山公园
13:市二医院(1)
14:海馨苑
15:海外装饰大厦(2)
16:华富路(2)
17:上海宾馆
"
