update_time,name,first_name,third_line,bus_type,time,first_line,cost,third_name,second_name,second_line,company
最后更新：2018-12-14,深圳1路公交车路线,深圳1路公交车路线(布心总站—火车站),,常规线路,运行时间：布心总站05:40-22:30 |火车站06:30-23:10,"1:布心总站
2:布心小学
3:彩世界家园
4:水库
5:泰宁小学
6:百仕达东郡
7:百仕达花园
8:五方广场
9:田贝四路
10:田贝新村
11:洪湖沃尔玛
12:深圳中学
13:晒布路
14:东门(3)
15:金城大厦(2)
16:金光华广场
17:罗湖小学
18:人民南地铁站
19:火车站
",票价信息：冷巴2元,,深圳1路公交车路线(火车站—布心总站),"1:火车站
2:人民南地铁站
3:罗湖小学
4:国贸
5:东门(3)
6:东门中(1)
7:儿童公园(1)
8:洪湖沃尔玛
9:田贝新村
10:田贝四路
11:五方广场
12:百仕达花园
13:百仕达东郡
14:水库
15:布心总站
",深圳巴士集团股份有限公司
最后更新：2018-12-14,深圳37路公交车路线,深圳37路公交车路线(海上世界公交接驳站—茶光路总站),,常规线路,运行时间：茶光路总站06:30-21:00 |海上世界公交接驳站06:30-21:30,"1:海上世界公交接驳站
2:潜龙湾
3:南海玫瑰园
4:公园南路
5:蛇口戏院
6:南山妇幼保健院
7:蛇口新街
8:东角头
9:永乐新村
10:湾厦村委
11:半岛花园
12:海月花园
13:后海新村
14:北师大附小
15:佳嘉豪苑
16:海雅百货
17:桂庙新村
18:深圳大学
19:豪方现代豪园
20:麒麟花园
21:玉泉艺园路口
22:玉泉南山路口
23:南山设计产业园
24:中山公园东门
25:南山农批市场
",票价信息：冷巴2元,,深圳37路公交车路线(茶光路总站—海上世界公交接驳站),"26:中山园
27:同乐学校
28:同乐村
29:TCL国际E城
30:第二高级中学
31:中兴人才公寓东
32:深职院西校区
33:留仙洞地铁站
34:石鼓花园
35:西丽派出所
36:茶光石鼓路口
37:茶光路总站
",深圳巴士集团股份有限公司
最后更新：2018-12-14,深圳46路公交车路线,深圳46路公交车路线(清水河总站—莲花山总站),,常规线路,运行时间：清水河总站06:30-19:00 |莲花山总站07:00-19:30,"1:清水河总站
2:清水河
3:武警医院(2)
4:金湖路东
5:泥岗村北
6:金湖花园
7:银湖综合楼
8:体育馆西
9:市二医院(1)
10:笔架山公园
11:莲花一村
12:关山月美术馆(2)
13:中心书城北
14:莲花山公园(1)
15:莲花山总站
",票价信息：冷巴2元,,深圳46路公交车路线(莲花山总站—清水河总站),"1:莲花山总站
2:商报社
3:北大医院(2)
4:莲花北村(1)
5:彩田村(1)
6:公交大厦
7:莲花一村
8:笔架山公园
9:市二医院(1)
10:体育馆西
11:银湖综合楼
12:金湖花园
13:泥岗村北
14:金湖路东
15:清水河
16:清水河总站
",深圳巴士集团股份有限公司
最后更新：2018-12-14,深圳43路公交车路线,深圳43路公交车路线(中海锦城花园公交总站—世界之窗地铁公交接驳站),,常规线路,运行时间：中海锦城花园公交总站06:20-22:30 |世界之窗地铁站06:50-23:30,"1:中海锦城花园公交总站
2:上芬小学新校区
3:上芬小学
4:人民路口北
5:人民路口
6:水榭春天
7:南源新村
8:高级中学北校区
9:龙华绿廊公园
10:长岭陂地铁站
11:南山智园北
12:南方科技大学
13:塘朗小学
14:塘朗村口
15:学苑丽水路口
16:丽水路南
17:平山一路路口
18:哈工大园区
19:桃源康复中心
20:红花岭
21:珠光北路
22:桃源文体中心
23:珠光村(2)
24:宝珠花园
25:龙井北路
",票价信息：冷巴2元,,深圳43路公交车路线(世界之窗地铁公交接驳站—中海锦城花园公交总站),"26:龙井工业区
27:光前村
28:军休二所
29:新车管所
30:龙井路口
31:欧洲城东
32:香山西街路口
33:白石洲西
34:白石洲(3)
35:世界之窗地铁公交接驳站
",深圳巴士集团股份有限公司
最后更新：2018-12-14,深圳41路公交车路线,深圳41路公交车路线(桃源村总站—华新村),,常规线路,运行时间：桃源村总站05:40-21:00 |华新村07:00-22:00,"1:桃源村总站
2:桃源村东
3:深云村
4:侨香村
5:北环香蜜立交
6:福田外语学校西
7:科技中学
8:妇儿大厦
9:景龙小学
10:鲁班大厦
11:莲花山西(2)
12:莲花山公园
13:中心书城北
14:少年宫东
15:雅颂居
16:人才大厦
17:中心公园
18:华富路始发站
19:华新路
20:华新村
",票价信息：冷巴2元,,深圳41路公交车路线(华新村—桃源村总站),"1:华新村
2:海外装饰大厦(1)
3:中心公园
4:人才大厦
5:雅颂居
6:少年宫东
7:中心书城北
8:莲花山公园(1)
9:莲花山西(2)
10:鲁班大厦(1)
11:景龙小学
12:妇儿大厦
13:科技中学
14:宏浩花园
15:福田外语学校西
16:北环香梅北天桥
17:北环香蜜立交
18:北环香蜜立交西
19:侨香村
20:深云村南
21:桃源村东
22:桃源村总站
",深圳巴士集团股份有限公司
最后更新：2018-12-14,深圳38路公交车路线,深圳38路公交车路线(香梅北总站—火车站),,常规线路,运行时间：香梅北总站06:00-22:00 |火车站06:45-22:50,"1:香梅北总站
2:福田外语学校西
3:福田外语学校东
4:景蜜村
5:景田北
6:监控中心
7:景新花园
8:莲花山西(2)
9:莲花山公园
10:儿童医院
11:市民中心
12:市民中心东
13:岗厦地铁站
14:福华新村
15:公汽大楼
16:中大八院
17:中医院
18:华强南
19:滨河华强天桥
20:上步中学(1)
21:上步南天桥
22:滨江新村(1)
23:鹿丹村
24:金威大厦
25:罗湖小学
",票价信息：冷巴2元,,深圳38路公交车路线(火车站—香梅北总站),"26:人民南地铁站
27:火车站
",深圳巴士集团股份有限公司
最后更新：2018-12-14,深圳42路公交车路线,深圳42路公交车路线(月亮湾填海区公交总站—世界之窗地铁公交接驳站),,常规线路,运行时间：月亮湾填海区总站06:30-22:30 |世界之窗地铁站07:00-23:30,"1:月亮湾填海区公交总站
2:前海湾花园南
3:十二号路
4:前海兴海路口
5:南山花园
6:深大附中
7:青青世界
8:前海沿湖路口
9:太子山庄
10:南山村西
11:鼎太风华
12:南山残联
13:大新村
14:大新小学
15:星海名城
16:新安古城
17:荔香公园
18:深大北门(2)
19:科技园(2)
20:大冲
21:白石洲(3)
22:世界之窗地铁公交接驳站
",票价信息：冷巴2元,,深圳42路公交车路线(世界之窗地铁公交接驳站—月亮湾填海区公交总站),"1:世界之窗地铁公交接驳站
2:白石洲(3)
3:大冲
4:科技园(2)
5:深大北门(2)
6:荔香公园
7:新安古城
8:星海名城
9:大新小学
10:大新村
11:南山残联
12:鼎太风华
13:南山村西
14:太子山庄
15:前海沿湖路口
16:青青世界
17:深大附中
18:南山花园
19:前海兴海路口
20:十二号路
21:前海湾花园南
22:月亮湾填海区公交总站
",深圳巴士集团股份有限公司
最后更新：2018-12-14,深圳45路公交车路线,深圳45路公交车路线(丰泽湖山庄—科技园公交总站),,常规线路,运行时间：丰泽湖山庄06:30-18:30 |科技园总站07:30-19:30,"1:丰泽湖山庄
2:民乐地铁站
3:翰岭院
4:档案中心
5:万科大厦
6:中康公园
7:梅林阁
8:梅林三村
9:梅林二村
10:下梅林市场(2)
11:景鹏大厦
12:景新花园
13:科技中学
14:宏浩花园
15:景田沃尔玛
16:特发小区
17:枫丹雅苑
18:金地网球中心
19:翠海花园(2)
20:经济犯罪侦查局
21:鸿新花园(1)
22:警校
23:深职院华侨城校区
24:园博园西
25:金海燕花园
",票价信息：冷巴2.5元,,深圳45路公交车路线(科技园公交总站—丰泽湖山庄),"26:港大医院
27:欢乐海岸
28:白石路中
29:百纳广场
30:中信红树湾
31:世纪村
32:沙河东路口
33:大冲
34:高科技中心
35:中兴通讯
36:科技园公交总站
",深圳巴士集团股份有限公司
最后更新：2018-12-14,深圳44路公交车路线,深圳44路公交车路线(石厦南总站—上梅林公交总站),,常规线路,运行时间：石厦南总站06:30-21:30 |上梅林公交总站06:30-21:30,"1:石厦南总站
2:石厦南
3:市文化创意园
4:新洲村
5:沙尾
6:上沙村(2)
7:天安数码城
8:香蜜红荔立交
9:市委党校
10:北环香蜜立交
11:北环香梅北天桥
12:深圳石油大厦
13:广中医深圳医院
14:下梅林市场
15:梅林一村
16:梅林二村
17:梅林三村
18:梅林三村东
19:上梅林村
20:上梅林市场
21:福田二医院
22:上梅林公交总站
",票价信息：冷巴2元,,深圳44路公交车路线(上梅林公交总站—石厦南总站),"1:上梅林公交总站
2:福田二医院
3:上梅林市场
4:梅林三村东
5:梅林三村
6:梅林二村
7:梅林一村(1)
8:下梅林市场(2)
9:广中医深圳医院
10:北环香梅北天桥
11:北环香蜜立交
12:市委党校
13:香蜜红荔立交
14:天安数码城
15:上沙村
16:沙尾
17:新洲村
18:市文化创意园
19:石厦南
20:石厦南总站
",深圳巴士集团股份有限公司
最后更新：2018-12-14,深圳36路公交车路线,深圳36路公交车路线(南头火车西站—动物园总站),,常规线路,运行时间：南头火车西站06:00-22:00 |动物园总站06:30-22:00,"1:南头火车西站
2:阳光棕榈园
3:大新村
4:大新地铁站
5:桃园南新路口
6:市六医院
7:南山区委
8:深圳大学
9:深大北门(2)
10:高科技中心
11:中兴通讯
12:创维大厦
13:深南科技立交北
14:科发路
15:深南科苑立交北
16:科苑北
17:科苑北环立交
18:孙逸仙心血管医院
19:朗山路中
20:松坪村
21:松坪学校小学部
22:茶光(1)
23:茶光(2)
24:西丽社区(2)
25:西丽法庭(2)
",票价信息：冷巴2元,,深圳36路公交车路线(动物园总站—南头火车西站),"26:西丽劳力市场
27:丽山路南
28:桃源康复中心
29:桃源街道办
30:丽山路北
31:动物园
32:动物园总站
",深圳巴士集团股份有限公司
