second_name,bus_type,first_line,company,cost,second_line,update_time,time,first_name,name
深圳大梅沙假日专线3公交车路线(大梅沙闻檀道场站—大运地铁公交接驳站),旅游专线,"1:大运地铁公交接驳站
2:荷坳地铁站
3:永湖地铁站
4:石头围村口
5:梅沙医院
6:大梅沙闻檀道场站
",深圳巴士集团股份有限公司,票价信息：冷巴5元,"1:大梅沙闻檀道场站
2:东部华侨城
3:海滨浴场(1)
4:梅沙医院
5:石头围村口
6:永湖地铁站
7:荷坳地铁站
8:大运地铁公交接驳站
",最后更新：2018-12-14,运行时间：大运地铁接驳站09:00-19:30 |大梅沙闻檀道场站10:00-20:30,深圳大梅沙假日专线3公交车路线(大运地铁公交接驳站—大梅沙闻檀道场站),深圳大梅沙假日专线3公交车路线
深圳小梅沙假日专线2公交车路线(北斗小学—小梅沙公交总站),旅游专线,"1:小梅沙公交总站
2:小梅沙
3:梅沙街道办
4:东部华侨城
5:梅沙医院
6:罗湖体育馆
7:黄贝岭地铁站(1)
8:北斗小学
",深圳巴士集团股份有限公司,票价信息：冷巴3元,"1:北斗小学
2:文锦南路
3:黄贝岭地铁站(3)
4:罗湖体育馆
5:梅沙医院
6:东部华侨城
7:梅沙街道办
8:小梅沙
9:小梅沙公交总站
",最后更新：2018-12-14,运行时间：小梅沙公交总站07:00-19:00 |黄贝岭地铁站09:00-20:00,深圳小梅沙假日专线2公交车路线(小梅沙公交总站—北斗小学),深圳小梅沙假日专线2公交车路线
深圳梧桐山假日专线2公交车路线(梧桐山总站—深圳东站东广场),旅游专线,"1:深圳东站东广场
2:龙珠花园
3:木棉湾地铁站(1)
4:大芬油画村
5:南湾人民医院
6:南岭村
7:樟树布社区
8:东湾派出所
9:望桐路西
10:梧桐山总站
",深圳巴士集团股份有限公司,票价信息：冷巴2元,"1:梧桐山总站
2:望桐路西
3:东湾派出所
4:樟树布社区
5:南岭村
6:南湾人民医院
7:大芬油画村
8:木棉湾地铁站(1)
9:龙珠花园(3)
10:深圳东站东广场
",最后更新：2018-12-14,运行时间：深圳东站东广场--梧桐山村 07:30--19:00,深圳梧桐山假日专线2公交车路线(深圳东站东广场—梧桐山总站),深圳梧桐山假日专线2公交车路线
深圳大鹏假日接驳专线3号公交车路线(东涌—新大集散中心),旅游专线,"1:新大集散中心
2:沙坑
3:东涌村委
4:东涌泳场
",深圳巴士集团股份有限公司,票价信息：冷巴2元,"1:东涌泳场
2:东涌村委
3:沙坑
4:新大集散中心
",最后更新：2018-12-14,运行时间：新大集散中心08:30-19:00 |东涌泳场09:00-20:00,深圳大鹏假日接驳专线3号公交车路线(新大集散中心—东涌),深圳大鹏假日接驳专线3号公交车路线
深圳大梅沙假日专线2公交车路线(大梅沙闻檀道场站—民乐地铁站),旅游专线,"1:民乐地铁站
2:福田党校
3:银湖汽车站(1)
4:泥岗村(1)
5:红岗花园
6:市慢病防治中心
7:罗湖体育馆
8:梅沙医院
9:万科中心
10:大梅沙闻檀道场站
",深圳巴士集团股份有限公司,票价信息：冷巴5元,"1:大梅沙闻檀道场站
2:东部华侨城
3:海滨浴场(1)
4:万科中心
5:梅沙医院
6:罗湖体育馆
7:市慢病防治中心
8:红岗花园
9:深中泥岗分校
10:银湖汽车站(1)
11:福田党校
12:民乐地铁站
",最后更新：2018-12-14,运行时间：民乐地铁站08:00-20:00 |大梅沙闻檀道场站08:00-20:00,深圳大梅沙假日专线2公交车路线(民乐地铁站—大梅沙闻檀道场站),深圳大梅沙假日专线2公交车路线
深圳大鹏假日接驳专线2号公交车路线(西涌二号浴场—新大集散中心),旅游专线,"1:新大集散中心
2:鹤薮村
3:西涌三四号浴场
4:西涌二号浴场
",深圳市东部公共交通有限公司,票价信息：冷巴2元,"1:西涌二号浴场
2:西涌三四号浴场
3:鹤薮村
4:新大集散中心
",最后更新：2018-12-14,运行时间：新大集散中心08:30-19:30 |西涌二号浴场09:00-20:00,深圳大鹏假日接驳专线2号公交车路线(新大集散中心—西涌二号浴场),深圳大鹏假日接驳专线2号公交车路线
深圳大鹏假日专线2公交车路线(新大集散中心—深圳北站),旅游专线,"1:深圳北站交通枢纽公交场站
2:龙悦居四期
3:银湖汽车站(1)
4:体育馆(2)
5:儿童公园(1)
6:留医部(2)
7:罗湖体育馆
8:莲塘
9:葵涌中心
10:大鹏中心(1)
11:布锦村
12:水头市场
13:水头村
14:南澳街道办
15:新大社区
16:新大集散中心
",深圳市东部公共交通有限公司,票价信息：冷巴10元,"1:新大集散中心
2:新大社区
3:南澳供电所
4:水头沙
5:水头市场
6:布锦村
7:大鹏中心(1)
8:葵涌中心
9:莲塘
10:罗湖体育馆
11:留医部(2)
12:儿童公园(1)
13:体育馆(2)
14:银湖汽车站(1)
15:龙悦居四期
16:深圳北站交通枢纽公交场站
",最后更新：2018-12-14,运行时间：深圳北站09:30-21:00 |新大集散中心09:30-21:00,深圳大鹏假日专线2公交车路线(深圳北站—新大集散中心),深圳大鹏假日专线2公交车路线
深圳大鹏假日接驳专线1号公交车路线(南澳杨梅坑—新大集散中心),旅游专线,"1:新大集散中心
2:七星湾路口
3:桔钓沙
4:浪骑
5:海滨度假中心
6:南澳杨梅坑
",深圳巴士集团股份有限公司,票价信息：冷巴2元,"1:南澳杨梅坑
2:海滨度假中心
3:浪骑
4:桔钓沙
5:七星湾路口
6:新大集散中心
",最后更新：2018-12-14,运行时间：新大集散中心08:30-19:30 |南澳杨梅坑09:00-20:00,深圳大鹏假日接驳专线1号公交车路线(新大集散中心—南澳杨梅坑),深圳大鹏假日接驳专线1号公交车路线
深圳大梅沙假日专线1公交车路线(大梅沙闻檀道场站—黄贝岭地铁站(1)),旅游专线,"1:黄贝岭地铁站(3)
2:罗湖体育馆
3:梅沙医院
4:万科中心
5:大梅沙闻檀道场站
",深圳巴士集团股份有限公司,票价信息：冷巴5元,"1:大梅沙闻檀道场站
2:东部华侨城
3:海滨浴场(1)
4:梅沙医院
5:罗湖体育馆
6:黄贝岭地铁站(1)
",最后更新：2018-12-14,运行时间：黄贝岭地铁站09:00-19:30 |大梅沙闻檀道场站10:00-20:30,深圳大梅沙假日专线1公交车路线(黄贝岭地铁站(3)—大梅沙闻檀道场站),深圳大梅沙假日专线1公交车路线
深圳小梅沙假日专线1公交车路线(小梅沙—布吉宝顶总站),旅游专线,"1:布吉宝顶总站
2:宝冠路口
3:丹竹头地铁站
4:金银坑
5:深坑居民小组
6:六约地铁站
7:牛始埔居民小组
8:六约社区
9:塘坑地铁站
10:横岗街道办
11:力嘉工业区
12:横岗志健广场
13:横岗大厦
14:横岗商业街
15:上围新村
16:横岗中心小学
17:横岗防疫站
18:安良路口
19:安良市场
20:安良六村
21:乐群小学
22:盐田医院盐田院区
23:东海丽景花园
24:庚子首义学校
25:梅沙医院
",深圳市东部公共交通有限公司,票价信息：冷巴3元,"26:海滨浴场
27:梅沙街道办
28:小梅沙
",最后更新：2018-12-14,运行时间：布吉宝鼎总站15:00-20:00 |小梅沙15:00-20:00,深圳小梅沙假日专线1公交车路线(布吉宝顶总站—小梅沙),深圳小梅沙假日专线1公交车路线
