time,company,update_time,cost,first_name,first_line,second_line,name,second_name,bus_type
运行时间：龙岗教苑总站07:00-09:00 17:00-20:00 |大鹏中心07:00-09:00 17:00-20:00,深圳市东部公共交通有限公司,最后更新：2018-12-14,票价信息：冷巴上车2元，分段收费，全程8元,深圳818大站快线公交车路线(龙岗教苑总站—大鹏中心),"1:龙岗教苑总站
2:黄阁翠苑
3:龙岗中专
4:龙岗党校
5:和兴花园
6:龙岗交警大队
7:龙岗人民医院
8:龙岗妇幼保健院
9:欧景城
10:愉园新村
11:紫薇花园
12:龙福一村
13:龙岗交通运输局
14:龙岗文化中心
15:龙城广场
16:龙城广场地铁站(1)
17:南联地铁站
18:龙岗街道办
19:龙岗长途客运站
20:双龙地铁站(3)
21:龙东社区
22:六和城
23:三洋湖
24:石井市场
25:葵涌邮局
","26:大鹏中心(1)
",深圳818大站快线公交车路线,深圳818大站快线公交车路线(大鹏中心—龙岗教苑总站),高峰专线
运行时间：龙胜地铁站--深航大厦07:30--08:30,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴3元,深圳高快巴士18公交车路线(龙胜地铁站—深航大厦),"1:龙胜地铁站
2:简上中路
3:简上村
4:白石龙南
5:关山月美术馆(1)
6:市民中心东
7:市民广场东
8:广电大厦
9:特区报社(2)
10:深南香蜜立交
11:招商银行大厦(1)
12:深航大厦
",,深圳高快巴士18公交车路线,,高峰专线
运行时间：观澜湖公交总站06:20-20:00 |民乐地铁站07:10-21:00,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴3元,深圳高快巴士17公交车路线(观澜湖公交总站—民乐地铁站),"1:观澜湖公交总站
2:中心新村
3:太兴新村
4:福楼村
5:南大富
6:大布新村
7:观澜交管所
8:新石桥村
9:长安桥
10:观澜爱心家园
11:民乐地铁站
","1:民乐地铁站
2:银星工业区
3:长安桥
4:观澜交管所
5:松元公园
6:大布新村
7:南大富
8:福楼村
9:太兴新村
10:中心新村
11:观澜湖公交总站
",深圳高快巴士17公交车路线,深圳高快巴士17公交车路线(民乐地铁站—观澜湖公交总站),高峰专线
运行时间：白石龙总站-福田南总站07:40-08:40,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高快巴士19公交车路线(白石龙总站—福田南总站),"1:白石龙总站
2:白石龙幼儿园
3:白石龙地铁站
4:书香门第
5:长城开发
6:关山月美术馆(1)
7:少年宫
8:市民广场西
9:卓越时代广场
10:岗厦地铁站
11:福华新村
12:福田南总站
",,深圳高快巴士19公交车路线,,高峰专线
运行时间：悦心园06:40-08:00 |福田高铁站17:30-18:30,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2.5元,深圳高快巴士20公交车路线(六约新村总站—福田高铁站),"1:六约新村总站
2:悦心园
3:横岗中学
4:康乐花园
5:锦绣花园
6:康乐路口
7:塘坑地铁站
8:牛始埔居民小组
9:六约地铁站
10:深坑居民小组
11:丹竹头地铁站
12:大芬地铁站(1)
13:木棉湾地铁站(1)
14:荣超花园(2)
15:草埔地铁站(4)
16:洪湖公园(2)
17:田贝(1)
18:东门(3)
19:门诊部(2)
20:地王大厦
21:市委
22:兴华宾馆西
23:上海宾馆
24:田面
25:岗厦北地铁站(1)
","26:海关综合大楼
27:广电大厦
28:民田路中
29:福田高铁站
",深圳高快巴士20公交车路线,深圳高快巴士20公交车路线(福田高铁站—六约新村总站),高峰专线
运行时间：布吉慢城总站07:00-09:00 |福田交通枢纽17:30-19:30,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴3元,深圳高峰专线18公交车路线(布吉慢城—福田交通枢纽),"1:布吉慢城
2:尚峰花园
3:布龙立交
4:龙珠花园(1)
5:荣超花园(1)
6:红岗花园
7:上海宾馆西
8:广电大厦
9:特区报社(2)
10:香蜜湖(2)
11:深南香蜜立交
12:招商银行大厦(1)
13:福田交通枢纽
","1:福田交通枢纽
2:招商银行大厦(2)
3:深南香蜜立交
4:香蜜湖(2)
5:特区报社(2)
6:投资大厦
7:上海宾馆西
8:红岗花园
9:荣超花园(1)
10:龙珠花园
11:东方半岛
12:半岛苑
13:布吉慢城
",深圳高峰专线18公交车路线,深圳高峰专线18公交车路线(福田交通枢纽—布吉慢城),高峰专线
运行时间：布吉慢城07:00 07:20 07:45 |下沙总站18:00 18:20 18:50,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线19公交车路线(布吉慢城—下沙总站),"1:布吉慢城
2:布澜路口
3:大芬地铁站(1)
4:木棉湾地铁站(1)
5:龙珠花园(1)
6:荣超花园(4)
7:独树村
8:宝安北路口
9:泥岗村(1)
10:银湖汽车站(1)
11:华茂苑
12:北环新洲立交
13:景鹏大厦
14:华强职校
15:福田实验学校(2)
16:下沙(1)
17:下沙总站
","1:下沙总站
2:下沙(2)
3:上沙
4:福田实验学校(2)
5:华强职校
6:景鹏大厦
7:北环新洲立交
8:银湖汽车站(1)
9:泥岗村(1)
10:宝安北路口(1)
11:独树村(2)
12:荣超花园(4)
13:龙珠花园
14:木棉湾地铁站(1)
15:大芬地铁站(1)
16:布澜路口
17:布吉慢城
",深圳高峰专线19公交车路线,深圳高峰专线19公交车路线(下沙总站—布吉慢城),高峰专线
运行时间：布吉慢城07:00-10:00 |购物公园地铁站17:00-20:00,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线17公交车路线(布吉慢城—购物公园地铁),"1:布吉慢城
2:尚峰花园
3:布澜路口
4:桂芳园
5:大芬地铁站(2)
6:木棉湾地铁站(2)
7:龙珠花园(2)
8:荣超花园(2)
9:市话大厦
10:海外装饰大厦(1)
11:人才大厦
12:市民中心东
13:大中华国际广场
14:购物公园地铁站
","1:购物公园地铁站
2:大中华国际广场
3:市民中心东
4:人才大厦
5:海外装饰大厦(1)
6:市话大厦(1)
7:荣超花园(4)
8:龙珠花园
9:木棉湾地铁站(2)
10:大芬地铁站(2)
11:布澜路口
12:尚峰花园
13:布吉慢城
",深圳高峰专线17公交车路线,深圳高峰专线17公交车路线(购物公园地铁—布吉慢城),高峰专线
运行时间：龙悦居公交总站06:50-09:15 16:50-19:20 |福田交通枢纽07:20-09:45 17:30-20:15,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴3元,深圳高快巴士16公交车路线(龙悦居公交总站—福田交通枢纽),"1:龙悦居公交总站
2:龙悦居四期
3:水榭山
4:市委党校
5:香蜜红荔立交
6:天安数码城
7:下沙(1)
8:福田交通枢纽
","1:福田交通枢纽
2:上沙
3:天安数码城
4:香蜜红荔立交
5:市委党校
6:水榭山
7:龙悦居四期
8:致远南路
9:龙悦居公交总站
",深圳高快巴士16公交车路线,深圳高快巴士16公交车路线(福田交通枢纽—龙悦居公交总站),高峰专线
运行时间：龙华清华路总站07:00-09:00 |东方雅苑17:30-20:00,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线14公交车路线(龙华和平工业园总站—东方雅苑),"1:龙华和平工业园总站
2:清湖市场
3:龙华汽车站
4:龙华消防中队
5:龙华文化广场
6:风和日丽
7:金地梅陇镇
8:东泉新村
9:铁路桥
10:樟坑
11:潜龙花园
12:石龙路口
13:惠鑫公寓(2)
14:彩福大厦
15:福华三路口
16:会展中心
17:益田中路
18:东方雅苑
","1:东方雅苑
2:益田中路
3:会展中心
4:福华三路口
5:彩福大厦
6:中级法院
7:惠鑫公寓(2)
8:石龙路口
9:潜龙花园
10:樟坑
11:铁路桥
12:东泉新村
13:金地梅陇镇
14:风和日丽
15:龙华文化广场
16:龙华消防中队
17:龙华汽车站西
18:玉翠新村
19:龙华和平工业园总站
",深圳高峰专线14公交车路线,深圳高峰专线14公交车路线(东方雅苑—龙华和平工业园总站),高峰专线
